,AIRPORT,Month,Dom_Pax_In,Dom_Pax_Out,Dom_Pax_Total,Int_Pax_In,Int_Pax_Out,Int_Pax_Total,Pax_In,Pax_Out,Pax_Total,latitude,longitude,State
93,HAMILTON ISLAND,October,22594,24507,47101,0,0,0,22594,24507,47101,-20.35,148.95,Queensland
94,HAMILTON ISLAND,November,20962,21135,42097,0,0,0,20962,21135,42097,-20.35,148.95,Queensland
95,HAMILTON ISLAND,December,24027,22845,46872,0,0,0,24027,22845,46872,-20.35,148.95,Queensland
96,DARWIN,January,58692,51559,110251,8647,6677,15324,67339,58236,125575,-12.42,130.88,Northern Territory
97,HOBART,February,117233,114579,231812,1944,1970,3914,119177,116549,235726,-42.84,147.51,Tasmania
98,HOBART,March,122225,121583,243808,1992,2175,4167,124217,123758,247975,-42.84,147.51,Tasmania
99,HOBART,April,110250,118400,228650,275,281,556,110525,118681,229206,-42.84,147.51,Tasmania
100,HOBART,May,93974,97700,191674,0,0,0,93974,97700,191674,-42.84,147.51,Tasmania
101,HOBART,June,95277,92438,187715,0,0,0,95277,92438,187715,-42.84,147.51,Tasmania
102,HOBART,July,105623,109924,215547,0,0,0,105623,109924,215547,-42.84,147.51,Tasmania
103,HOBART,August,99397,98490,197887,0,0,0,99397,98490,197887,-42.84,147.51,Tasmania
104,HOBART,September,105263,102317,207580,0,0,0,105263,102317,207580,-42.84,147.51,Tasmania
105,HOBART,October,118654,116355,235009,436,372,808,119090,116727,235817,-42.84,147.51,Tasmania
106,HOBART,November,121233,116850,238083,1836,1905,3741,123069,118755,241824,-42.84,147.51,Tasmania
107,HOBART,December,146168,128689,274857,2013,1958,3971,148181,130647,278828,-42.84,147.51,Tasmania
108,LAUNCESTON,January,68013,75861,143874,0,0,0,68013,75861,143874,-41.54,147.21,Tasmania
109,KARRATHA,February,21322,22170,43492,0,0,0,21322,22170,43492,-20.71,116.77,Western Australia
110,KARRATHA,March,24072,24751,48823,0,0,0,24072,24751,48823,-20.71,116.77,Western Australia
111,KARRATHA,April,25844,23824,49668,0,0,0,25844,23824,49668,-20.71,116.77,Western Australia
112,KARRATHA,May,25793,27403,53196,0,0,0,25793,27403,53196,-20.71,116.77,Western Australia
113,KARRATHA,June,25398,25543,50941,0,0,0,25398,25543,50941,-20.71,116.77,Western Australia
114,KARRATHA,July,29809,28600,58409,0,0,0,29809,28600,58409,-20.71,116.77,Western Australia
115,KARRATHA,August,27145,27957,55102,0,0,0,27145,27957,55102,-20.71,116.77,Western Australia
116,KARRATHA,September,25989,27082,53071,0,0,0,25989,27082,53071,-20.71,116.77,Western Australia
117,KARRATHA,October,29045,28082,57127,0,0,0,29045,28082,57127,-20.71,116.77,Western Australia
118,KARRATHA,November,26869,27481,54350,0,0,0,26869,27481,54350,-20.71,116.77,Western Australia
119,KARRATHA,December,20213,25624,45837,0,0,0,20213,25624,45837,-20.71,116.77,Western Australia
120,SUNSHINE COAST,January,86439,95264,181703,0,0,0,86439,95264,181703,-26.6,153.09,Queensland
121,LAUNCESTON,February,62051,61639,123690,0,0,0,62051,61639,123690,-41.54,147.21,Tasmania
122,LAUNCESTON,March,67859,67669,135528,0,0,0,67859,67669,135528,-41.54,147.21,Tasmania
123,LAUNCESTON,April,60965,66265,127230,0,0,0,60965,66265,127230,-41.54,147.21,Tasmania
124,LAUNCESTON,May,48699,50852,99551,0,0,0,48699,50852,99551,-41.54,147.21,Tasmania
125,LAUNCESTON,June,46275,45612,91887,0,0,0,46275,45612,91887,-41.54,147.21,Tasmania
126,LAUNCESTON,July,52370,55347,107717,0,0,0,52370,55347,107717,-41.54,147.21,Tasmania
127,LAUNCESTON,August,52518,51398,103916,0,0,0,52518,51398,103916,-41.54,147.21,Tasmania
128,LAUNCESTON,September,53042,53078,106120,0,0,0,53042,53078,106120,-41.54,147.21,Tasmania
129,LAUNCESTON,October,59729,59611,119340,0,0,0,59729,59611,119340,-41.54,147.21,Tasmania
130,LAUNCESTON,November,61369,58934,120303,0,0,0,61369,58934,120303,-41.54,147.21,Tasmania
131,LAUNCESTON,December,73803,65551,139354,0,0,0,73803,65551,139354,-41.54,147.21,Tasmania
132,CANBERRA,January,99608,88844,188452,1235,1767,3002,100843,90611,191454,-35.31,149.19,Australian Capital Territory
133,MACKAY,February,34796,35422,70218,0,0,0,34796,35422,70218,-21.17,149.19,Queensland
134,MACKAY,March,37952,38156,76108,0,0,0,37952,38156,76108,-21.17,149.19,Queensland
